LocusID	snpID	Chr	BP	NearGene	GeneName	GeneStrand	GeneStart	GeneEnd	GeneWidth	dist2Gene	genotypes_p	FLK_p
167108	167108_14	4	84940235	ENSOCUG00000017054	TEX33	+	84939345	84952016	12671	0	2.4164907158907983e-4	1.640273048075791e-5
167108	167108_14	4	84940235	ENSOCUG00000027344	CSF2RB	-	84973862	84996120	22258	33627	2.4164907158907983e-4	1.640273048075791e-5
127237	127237_21	10	15010006	ENSOCUG00000005295	GARS	+	14935319	14977681	42362	32325	2.878333459167365e-4	1.764502156020864e-5
127237	127237_21	10	15010006	ENSOCUG00000024444	CRHR2	-	14985084	15008460	23376	1546	2.878333459167365e-4	1.764502156020864e-5
104906	104906_36	13	125904892	ENSOCUG00000025540	NFYC	-	125801519	125865886	64367	39006	1.8105926047992866e-5	4.9878852684370756e-5
104906	104906_36	13	125904892	ENSOCUG00000014068	RIMS3	+	125926888	125944256	17368	21996	1.8105926047992866e-5	4.9878852684370756e-5
211772	211772_28	9	89862481	ENSOCUG00000024842	CTIF	+	89587408	89874454	287046	0	0.0012202966036033414	2.0530864654699776e-5
208111	208111_21	18	68517942	ENSOCUG00000007069	FGFR2	-	68468510	68572977	104467	0	4.5592629607342256e-4	2.064332979223593e-5
41475	41475_63	GL018739	75851	ENSOCUG00000017106	KAZN	-	14391	134667	120276	0	1.8808777797426482e-4	2.308901024672405e-5
208110	208110_71	18	68517919	ENSOCUG00000007069	FGFR2	-	68468510	68572977	104467	0	6.770909406477057e-4	2.3808803222724606e-5
62998	62998_77	21	14643101	ENSOCUG00000001722	KSR2	+	14431306	14857367	426061	0	0.0022693762671561098	2.5112055853537818e-5
21896	21896_11	GL018881	24230	ENSOCUG00000005382	ZNF575	+	6352	7403	1051	16827	6.2652667092879e-5	2.5942012706892115e-5
21896	21896_11	GL018881	24230	ENSOCUG00000005387	XRCC1	-	10610	34650	24040	0	6.2652667092879e-5	2.5942012706892115e-5
21896	21896_11	GL018881	24230	ENSOCUG00000005396	PINLYP	+	34658	38076	3418	10428	6.2652667092879e-5	2.5942012706892115e-5
21896	21896_11	GL018881	24230	ENSOCUG00000005402	IRGQ	-	43970	48452	4482	19740	6.2652667092879e-5	2.5942012706892115e-5
21896	21896_11	GL018881	24230	ENSOCUG00000016634	ZNF576	+	48988	49416	428	24758	6.2652667092879e-5	2.5942012706892115e-5
21896	21896_11	GL018881	24230	ENSOCUG00000016620	ZNF428	-	54028	59371	5343	29798	6.2652667092879e-5	2.5942012706892115e-5
21896	21896_11	GL018881	24230	ENSOCUG00000016625	SRRM5	+	57207	59336	2129	32977	6.2652667092879e-5	2.5942012706892115e-5
101831	101831_18	14	92793012	ENSOCUG00000007988	MUC4	+	92790349	92817694	27345	0	2.7411637278092465e-5	1.627690456422748e-4
87819	87819_88	16	735716	ENSOCUG00000016518	KIAA1217	+	545155	930088	384933	0	0.06968187286930722	2.8111617198733896e-5
123550	123550_8	11	36239538	ENSOCUG00000012709	CTNND2	-	35838222	36227628	389406	11910	3.618446428811701e-4	3.23326002632518e-5
211772	211772_12	9	89862497	ENSOCUG00000024842	CTIF	+	89587408	89874454	287046	0	0.0023519091893232182	3.351393070472053e-5
233206	233206_29	GL018881	88327	ENSOCUG00000005402	IRGQ	-	43970	48452	4482	39875	9.848946347371248e-5	3.36259161475283e-5
233206	233206_29	GL018881	88327	ENSOCUG00000016634	ZNF576	+	48988	49416	428	38911	9.848946347371248e-5	3.36259161475283e-5
233206	233206_29	GL018881	88327	ENSOCUG00000016620	ZNF428	-	54028	59371	5343	28956	9.848946347371248e-5	3.36259161475283e-5
233206	233206_29	GL018881	88327	ENSOCUG00000016625	SRRM5	+	57207	59336	2129	28991	9.848946347371248e-5	3.36259161475283e-5
233206	233206_29	GL018881	88327	ENSOCUG00000026547	CADM4	-	64271	76782	12511	11545	9.848946347371248e-5	3.36259161475283e-5
233206	233206_29	GL018881	88327	ENSOCUG00000027400	PLAUR	-	85742	98957	13215	0	9.848946347371248e-5	3.36259161475283e-5
218710	218710_78	GL018878	365646	ENSOCUG00000027269	NA	-	393370	394314	944	27724	2.797447390773538e-4	3.553616713969365e-5
65474	65474_28	20	28859654	ENSOCUG00000001207	ESRRB	-	28707042	28876295	169253	0	0.002299837307217973	3.9422853964965476e-5
154818	154818_20	7	8307536	ENSOCUG00000002065	TCAF1	+	8273774	8294404	20630	13132	4.635700965243194e-4	4.197831370811311e-5
154818	154818_20	7	8307536	ENSOCUG00000002072	TCAF2	+	8312311	8336921	24610	4775	4.635700965243194e-4	4.197831370811311e-5
175501	175501_56	3	53556574	ENSOCUG00000006784	SH3PXD2B	-	53463988	53531108	67120	25466	4.262451864935665e-4	4.4139557007327745e-5
21896	21896_47	GL018881	24194	ENSOCUG00000005382	ZNF575	+	6352	7403	1051	16791	1.1272200579185759e-4	4.562147931730376e-5
21896	21896_47	GL018881	24194	ENSOCUG00000005387	XRCC1	-	10610	34650	24040	0	1.1272200579185759e-4	4.562147931730376e-5
21896	21896_47	GL018881	24194	ENSOCUG00000005396	PINLYP	+	34658	38076	3418	10464	1.1272200579185759e-4	4.562147931730376e-5
21896	21896_47	GL018881	24194	ENSOCUG00000005402	IRGQ	-	43970	48452	4482	19776	1.1272200579185759e-4	4.562147931730376e-5
21896	21896_47	GL018881	24194	ENSOCUG00000016634	ZNF576	+	48988	49416	428	24794	1.1272200579185759e-4	4.562147931730376e-5
21896	21896_47	GL018881	24194	ENSOCUG00000016620	ZNF428	-	54028	59371	5343	29834	1.1272200579185759e-4	4.562147931730376e-5
21896	21896_47	GL018881	24194	ENSOCUG00000016625	SRRM5	+	57207	59336	2129	33013	1.1272200579185759e-4	4.562147931730376e-5
11492	11492_22	GL019096	125145	ENSOCUG00000023512	NA	+	86360	87516	1156	37629	5.42408295839535e-4	4.586504217307663e-5
11492	11492_22	GL019096	125145	ENSOCUG00000027811	NA	-	138304	139460	1156	13159	5.42408295839535e-4	4.586504217307663e-5
206301	206301_14	GL018723	266003	ENSOCUG00000024392	CRYBA4	+	225578	230388	4810	35615	0.03558266959615381	4.8816135937324034e-5
80772	80772_39	17	69838525	ENSOCUG00000015494	NIN	-	69733508	69846938	113430	0	8.447547526915989e-5	5.1390707743736996e-5
195917	195917_31	1	20066891	ENSOCUG00000017852	AQP3	+	20023369	20029208	5839	37683	7.227664092249805e-4	5.148997492965268e-5
195917	195917_31	1	20066891	ENSOCUG00000017851	NA	+	20067138	20079306	12168	247	7.227664092249805e-4	5.148997492965268e-5
195917	195917_31	1	20066891	ENSOCUG00000008957	NFX1	-	20083768	20155665	71897	16877	7.227664092249805e-4	5.148997492965268e-5
105215	105215_39	13	128331083	ENSOCUG00000001823	NA	+	128261063	128296931	35868	34152	6.29753414852891e-4	5.5354119918193945e-5
105215	105215_39	13	128331083	ENSOCUG00000001820	TMEM50A	-	128297447	128318216	20769	12867	6.29753414852891e-4	5.5354119918193945e-5
105215	105215_39	13	128331083	ENSOCUG00000013050	SYF2	+	128352476	128360192	7716	21393	6.29753414852891e-4	5.5354119918193945e-5
105215	105215_39	13	128331083	ENSOCUG00000017751	RUNX3	+	128370723	128635823	265100	39640	6.29753414852891e-4	5.5354119918193945e-5
37345	37345_16	GL018754	1365061	ENSOCUG00000017031	USP46	+	1333705	1386920	53215	0	5.664706387716813e-5	0.0012635758828191124
157157	157157_45	6	27103576	ENSOCUG00000005589	ZAN	-	27045103	27084334	39231	19242	5.68011920306415e-5	0.14821045135668665
157157	157157_45	6	27103576	ENSOCUG00000005399	EPO	-	27103498	27105039	1541	0	5.68011920306415e-5	0.14821045135668665
157157	157157_45	6	27103576	ENSOCUG00000007818	POP7	-	27121461	27121883	422	17885	5.68011920306415e-5	0.14821045135668665
157157	157157_45	6	27103576	ENSOCUG00000022861	FBXO24	-	27122585	27201248	78663	19009	5.68011920306415e-5	0.14821045135668665
157157	157157_45	6	27103576	ENSOCUG00000002663	GIGYF1	+	27134224	27141194	6970	30648	5.68011920306415e-5	0.14821045135668665
137951	137951_16	9	90037630	ENSOCUG00000015851	DYM	-	90025790	90400731	374941	0	0.002951512867571422	5.9250276315370165e-5
123551	123551_30	11	36239606	ENSOCUG00000012709	CTNND2	-	35838222	36227628	389406	11978	4.715748885003725e-4	6.409316380917573e-5
127237	127237_50	10	15009977	ENSOCUG00000005295	GARS	+	14935319	14977681	42362	32296	0.0020188598181175394	6.436690770705855e-5
127237	127237_50	10	15009977	ENSOCUG00000024444	CRHR2	-	14985084	15008460	23376	1517	0.0020188598181175394	6.436690770705855e-5
111958	111958_69	13	76001299	ENSOCUG00000017056	PKN2	-	75844669	75998179	153510	3120	0.0020320833934159583	6.506945622430926e-5
111958	111958_69	13	76001299	ENSOCUG00000024032	NA	-	76033405	76034163	758	32106	0.0020320833934159583	6.506945622430926e-5
107422	107422_35	13	15938245	ENSOCUG00000012252	DPP6	+	15714654	16354639	639985	0	0.00487089320104673	6.570995665911017e-5
157156	157156_58	6	27103573	ENSOCUG00000005589	ZAN	-	27045103	27084334	39231	19239	6.577655268895427e-5	0.11866687020374778
157156	157156_58	6	27103573	ENSOCUG00000005399	EPO	-	27103498	27105039	1541	0	6.577655268895427e-5	0.11866687020374778
157156	157156_58	6	27103573	ENSOCUG00000007818	POP7	-	27121461	27121883	422	17888	6.577655268895427e-5	0.11866687020374778
157156	157156_58	6	27103573	ENSOCUG00000022861	FBXO24	-	27122585	27201248	78663	19012	6.577655268895427e-5	0.11866687020374778
157156	157156_58	6	27103573	ENSOCUG00000002663	GIGYF1	+	27134224	27141194	6970	30651	6.577655268895427e-5	0.11866687020374778
137949	137949_40	9	90037571	ENSOCUG00000015851	DYM	-	90025790	90400731	374941	0	0.0029023958076592974	7.016656094016582e-5
87407	87407_11	16	69850541	ENSOCUG00000007461	NAV1	-	69771834	70000098	228264	0	8.029902521932467e-4	7.397325802549481e-5
185586	185586_34	2	47053622	ENSOCUG00000006446	CBR4	-	47032441	47053249	20808	373	8.657223031822712e-5	0.002222921667738964
127156	127156_20	10	14373457	ENSOCUG00000000802	WIPF3	+	14323087	14336584	13497	36873	1.159322611821557e-4	8.942330651884323e-5
127156	127156_20	10	14373457	ENSOCUG00000000804	SCRN1	-	14349838	14389627	39789	0	1.159322611821557e-4	8.942330651884323e-5
151791	151791_54	7	38250131	ENSOCUG00000001407	MAGI2	+	37535103	38264480	729377	0	9.50138228717067e-5	0.002713696254372011
151249	151249_77	7	2702916	ENSOCUG00000007975	ZNF777	+	2657170	2690044	32874	12872	9.628642226544774e-5	6.715049971129927e-4
151249	151249_77	7	2702916	ENSOCUG00000027861	NA	-	2706195	2707317	1122	3279	9.628642226544774e-5	6.715049971129927e-4
151251	151251_13	7	2702919	ENSOCUG00000007975	ZNF777	+	2657170	2690044	32874	12875	9.628642226544774e-5	6.715049971129927e-4
151251	151251_13	7	2702919	ENSOCUG00000027861	NA	-	2706195	2707317	1122	3276	9.628642226544774e-5	6.715049971129927e-4
37350	37350_8	GL018754	1395711	ENSOCUG00000017031	USP46	+	1333705	1386920	53215	8791	9.999911245110782e-5	0.0019445549933237993
37349	37349_74	GL018754	1395679	ENSOCUG00000017031	USP46	+	1333705	1386920	53215	8759	1.0629003004456879e-4	0.0018906674067824536
134595	134595_50	9	48543229	ENSOCUG00000005605	LDLRAD4	-	48469156	48711713	242557	0	1.0695605912348508e-4	5.969107100152193e-4
36037	36037_47	GL018761	75552	ENSOCUG00000023484	HHIPL1	-	35306	56304	20998	19248	0.0045930715183204705	1.0959062204252135e-4
127157	127157_45	10	14373501	ENSOCUG00000000802	WIPF3	+	14323087	14336584	13497	36917	2.5765598102665095e-4	1.1453760565882654e-4
127157	127157_45	10	14373501	ENSOCUG00000000804	SCRN1	-	14349838	14389627	39789	0	2.5765598102665095e-4	1.1453760565882654e-4
5908	5908_8	GL019406	5672	ENSOCUG00000029496	UNC93A	-	184	13844	13660	0	0.0019718926731912014	1.211640650691237e-4
36566	36566_45	GL018758	1220835	ENSOCUG00000025211	NA	-	1179391	1183805	4414	37030	1.3309267136674867e-4	2.7988722535166044e-4
36566	36566_45	GL018758	1220835	ENSOCUG00000026000	NA	-	1191062	1195401	4339	25434	1.3309267136674867e-4	2.7988722535166044e-4
36566	36566_45	GL018758	1220835	ENSOCUG00000027848	TRBV2	+	1208905	1209310	405	11525	1.3309267136674867e-4	2.7988722535166044e-4
36566	36566_45	GL018758	1220835	ENSOCUG00000026642	TRBV3-1	+	1219792	1220082	290	753	1.3309267136674867e-4	2.7988722535166044e-4
36566	36566_45	GL018758	1220835	ENSOCUG00000029175	NA	+	1220622	1221359	737	0	1.3309267136674867e-4	2.7988722535166044e-4
36566	36566_45	GL018758	1220835	ENSOCUG00000026804	NA	+	1222446	1222889	443	1611	1.3309267136674867e-4	2.7988722535166044e-4
36566	36566_45	GL018758	1220835	ENSOCUG00000023047	NA	+	1248234	1249507	1273	27399	1.3309267136674867e-4	2.7988722535166044e-4
36567	36567_12	GL018758	1220869	ENSOCUG00000025211	NA	-	1179391	1183805	4414	37064	1.3309267136674867e-4	2.7988722535166044e-4
36567	36567_12	GL018758	1220869	ENSOCUG00000026000	NA	-	1191062	1195401	4339	25468	1.3309267136674867e-4	2.7988722535166044e-4
36567	36567_12	GL018758	1220869	ENSOCUG00000027848	TRBV2	+	1208905	1209310	405	11559	1.3309267136674867e-4	2.7988722535166044e-4
36567	36567_12	GL018758	1220869	ENSOCUG00000026642	TRBV3-1	+	1219792	1220082	290	787	1.3309267136674867e-4	2.7988722535166044e-4
36567	36567_12	GL018758	1220869	ENSOCUG00000029175	NA	+	1220622	1221359	737	0	1.3309267136674867e-4	2.7988722535166044e-4
36567	36567_12	GL018758	1220869	ENSOCUG00000026804	NA	+	1222446	1222889	443	1577	1.3309267136674867e-4	2.7988722535166044e-4
36567	36567_12	GL018758	1220869	ENSOCUG00000023047	NA	+	1248234	1249507	1273	27365	1.3309267136674867e-4	2.7988722535166044e-4
72030	72030_54	18	14288883	ENSOCUG00000017621	ECD	+	14219834	14263198	43364	25685	1.334176067178037e-4	0.0035968110307887935
72030	72030_54	18	14288883	ENSOCUG00000027569	NA	+	14276942	14288878	11936	5	1.334176067178037e-4	0.0035968110307887935
72030	72030_54	18	14288883	ENSOCUG00000014329	NUDT13	-	14291351	14313728	22377	2468	1.334176067178037e-4	0.0035968110307887935
184763	184763_8	2	37519845	ENSOCUG00000007907	OCIAD2	-	37472204	37494455	22251	25390	1.430914455408279e-4	0.008110361111188236
