Chromosome	RefSeq	GenBank	Ensembl	Length
chrUn0036	NW_003159360.1	GL018734	GL018734	2613145
chrUn0037	NW_003159361.1	GL018735	GL018735	2586821
chrUn0038	NW_003159362.1	GL018736	GL018736	2467970
chrUn0039	NW_003159363.1	GL018737	GL018737	2374666
chrUn0040	NW_003159364.1	GL018738	GL018738	2467173
chrUn0041	NW_003159365.1	GL018739	GL018739	2331373
chrUn0042	NW_003159366.1	GL018740	GL018740	2398104
chrUn0043	NW_003159367.1	GL018741	GL018741	2352391
chrUn0044	NW_003159368.1	GL018742	GL018742	2210801
chrUn0045	NW_003159369.1	GL018743	GL018743	2209796
chrUn0046	NW_003159370.1	GL018744	GL018744	2220855
chrUn0047	NW_003159371.1	GL018745	GL018745	2199458
chrUn0048	NW_003159372.1	GL018746	GL018746	2067550
chrUn0049	NW_003159373.1	GL018747	GL018747	2041368
chrUn0050	NW_003159374.1	GL018748	GL018748	2148096
chrUn0051	NW_003159375.1	GL018749	GL018749	2006438
chrUn0052	NW_003159376.1	GL018750	GL018750	1958842
chrUn0053	NW_003159377.1	GL018751	GL018751	1879513
chrUn0054	NW_003159378.1	GL018752	GL018752	2008236
chrUn0055	NW_003159379.1	GL018753	GL018753	1777580
chrUn0056	NW_003159380.1	GL018754	GL018754	1825906
chrUn0057	NW_003159381.1	GL018755	GL018755	1735093
chrUn0058	NW_003159382.1	GL018756	GL018756	1691152
chrUn0059	NW_003159383.1	GL018757	GL018757	1700645
chrUn0060	NW_003159384.1	GL018758	GL018758	1734957
chrUn0061	NW_003159385.1	GL018759	GL018759	1610157
chrUn0062	NW_003159386.1	GL018760	GL018760	1602899
chrUn0063	NW_003159387.1	GL018761	GL018761	1546167
chrUn0064	NW_003159388.1	GL018762	GL018762	1503878
chrUn0065	NW_003159389.1	GL018763	GL018763	1506796
chrUn0066	NW_003159390.1	GL018764	GL018764	1474860
chrUn0067	NW_003159391.1	GL018765	GL018765	1414822
chrUn0068	NW_003159392.1	GL018766	GL018766	1396388
chrUn0069	NW_003159393.1	GL018767	GL018767	1378268
chrUn0070	NW_003159394.1	GL018768	GL018768	1335702
chrUn0071	NW_003159395.1	GL018769	GL018769	1312651
chrUn0072	NW_003159396.1	GL018770	GL018770	1279700
chrUn0073	NW_003159397.1	GL018771	GL018771	1225893
chrUn0074	NW_003159398.1	GL018772	GL018772	1456394
chrUn0075	NW_003159399.1	GL018773	GL018773	1295358
chrUn0076	NW_003159400.1	GL018774	GL018774	1299260
chrUn0077	NW_003159401.1	GL018775	GL018775	1217826
chrUn0078	NW_003159402.1	GL018776	GL018776	1207509
chrUn0079	NW_003159403.1	GL018777	GL018777	1187392
chrUn0080	NW_003159404.1	GL018778	GL018778	1157137
chrUn0081	NW_003159405.1	GL018779	GL018779	1166848
chrUn0082	NW_003159406.1	GL018780	GL018780	1147153
chrUn0083	NW_003159407.1	GL018781	GL018781	1168253
chrUn0084	NW_003159408.1	GL018782	GL018782	1171746
chrUn0085	NW_003159409.1	GL018783	GL018783	1146635
chrUn0086	NW_003159410.1	GL018784	GL018784	1131163
chrUn0087	NW_003159411.1	GL018785	GL018785	1191687
chrUn0088	NW_003159412.1	GL018786	GL018786	1165285
chrUn0089	NW_003159413.1	GL018787	GL018787	1113411
chrUn0090	NW_003159414.1	GL018788	GL018788	1107004
chrUn0091	NW_003159415.1	GL018789	GL018789	1112688
chrUn0092	NW_003159416.1	GL018790	GL018790	1109196
chrUn0093	NW_003159417.1	GL018791	GL018791	1081106
chrUn0094	NW_003159418.1	GL018792	GL018792	1164262
chrUn0095	NW_003159419.1	GL018793	GL018793	1071538
chrUn0096	NW_003159420.1	GL018794	GL018794	1082042
chrUn0097	NW_003159421.1	GL018795	GL018795	1067461
chrUn0098	NW_003159422.1	GL018796	GL018796	1156787
chrUn0099	NW_003159423.1	GL018797	GL018797	1052913
chrUn0100	NW_003159424.1	GL018798	GL018798	1050750
chrUn0101	NW_003159425.1	GL018799	GL018799	1104258
chrUn0102	NW_003159426.1	GL018800	GL018800	1035676
chrUn0103	NW_003159427.1	GL018801	GL018801	1019757
chrUn0104	NW_003159428.1	GL018802	GL018802	1000506
chrUn0105	NW_003159429.1	GL018803	GL018803	1021025
chrUn0106	NW_003159430.1	GL018804	GL018804	1032594
chrUn0107	NW_003159431.1	GL018805	GL018805	1087329
chrUn0108	NW_003159432.1	GL018806	GL018806	1022575
chrUn0109	NW_003159433.1	GL018807	GL018807	981750
chrUn0110	NW_003159434.1	GL018808	GL018808	1014670
chrUn0111	NW_003159435.1	GL018809	GL018809	1022565
chrUn0112	NW_003159436.1	GL018810	GL018810	960476
chrUn0113	NW_003159437.1	GL018811	GL018811	974419
chrUn0114	NW_003159438.1	GL018812	GL018812	964430
chrUn0115	NW_003159439.1	GL018813	GL018813	940520
chrUn0116	NW_003159440.1	GL018814	GL018814	948018
chrUn0117	NW_003159441.1	GL018815	GL018815	936934
chrUn0118	NW_003159442.1	GL018816	GL018816	928860
chrUn0119	NW_003159443.1	GL018817	GL018817	947161
chrUn0120	NW_003159444.1	GL018818	GL018818	1043626
chrUn0121	NW_003159445.1	GL018819	GL018819	891850
chrUn0122	NW_003159446.1	GL018820	GL018820	910185
chrUn0123	NW_003159447.1	GL018821	GL018821	960125
chrUn0124	NW_003159448.1	GL018822	GL018822	901664
chrUn0125	NW_003159449.1	GL018823	GL018823	851866
chrUn0126	NW_003159450.1	GL018824	GL018824	844703
chrUn0127	NW_003159451.1	GL018825	GL018825	875022
chrUn0128	NW_003159452.1	GL018826	GL018826	922215
chrUn0129	NW_003159453.1	GL018827	GL018827	877054
chrUn0130	NW_003159454.1	GL018828	GL018828	859581
chrUn0131	NW_003159455.1	GL018829	GL018829	893225
chrUn0132	NW_003159456.1	GL018830	GL018830	838382
chrUn0133	NW_003159457.1	GL018831	GL018831	819185
chrUn0134	NW_003159458.1	GL018832	GL018832	1002905
chrUn0135	NW_003159459.1	GL018833	GL018833	848867
chrUn0136	NW_003159460.1	GL018834	GL018834	817644
chrUn0137	NW_003159461.1	GL018835	GL018835	812274
chrUn0138	NW_003159462.1	GL018836	GL018836	771210
chrUn0139	NW_003159463.1	GL018837	GL018837	769394
chrUn0140	NW_003159464.1	GL018838	GL018838	777151
chrUn0141	NW_003159465.1	GL018839	GL018839	909958
chrUn0142	NW_003159466.1	GL018840	GL018840	763600
chrUn0143	NW_003159467.1	GL018841	GL018841	799640
chrUn0144	NW_003159468.1	GL018842	GL018842	727262
chrUn0145	NW_003159469.1	GL018843	GL018843	718386
chrUn0146	NW_003159470.1	GL018844	GL018844	734255
chrUn0147	NW_003159471.1	GL018845	GL018845	709936
chrUn0148	NW_003159472.1	GL018846	GL018846	691702
chrUn0149	NW_003159473.1	GL018847	GL018847	709480
chrUn0150	NW_003159474.1	GL018848	GL018848	718166
chrUn0151	NW_003159475.1	GL018849	GL018849	677194
chrUn0152	NW_003159476.1	GL018850	GL018850	652566
chrUn0153	NW_003159477.1	GL018851	GL018851	692640
chrUn0154	NW_003159478.1	GL018852	GL018852	643000
chrUn0155	NW_003159479.1	GL018853	GL018853	644897
chrUn0156	NW_003159480.1	GL018854	GL018854	736287
chrUn0157	NW_003159481.1	GL018855	GL018855	671117
chrUn0158	NW_003159482.1	GL018856	GL018856	745422
chrUn0159	NW_003159483.1	GL018857	GL018857	645466
chrUn0160	NW_003159484.1	GL018858	GL018858	612083
chrUn0161	NW_003159485.1	GL018859	GL018859	612182
chrUn0162	NW_003159486.1	GL018860	GL018860	601335
chrUn0163	NW_003159487.1	GL018861	GL018861	611938
chrUn0164	NW_003159488.1	GL018862	GL018862	660382
chrUn0165	NW_003159489.1	GL018863	GL018863	595215
chrUn0166	NW_003159490.1	GL018864	GL018864	611413
chrUn0167	NW_003159491.1	GL018865	GL018865	663941
chrUn0168	NW_003159492.1	GL018866	GL018866	615524
chrUn0169	NW_003159493.1	GL018867	GL018867	597939
chrUn0170	NW_003159494.1	GL018868	GL018868	594256
chrUn0171	NW_003159495.1	GL018869	GL018869	638014
chrUn0172	NW_003159496.1	GL018870	GL018870	625076
chrUn0173	NW_003159497.1	GL018871	GL018871	584792
chrUn0174	NW_003159498.1	GL018872	GL018872	700076
chrUn0175	NW_003159499.1	GL018873	GL018873	571908
chrUn0176	NW_003159500.1	GL018874	GL018874	557607
chrUn0177	NW_003159501.1	GL018875	GL018875	597847
chrUn0178	NW_003159502.1	GL018876	GL018876	577984
chrUn0179	NW_003159503.1	GL018877	GL018877	695312
chrUn0180	NW_003159504.1	GL018878	GL018878	560259
chrUn0181	NW_003159505.1	GL018879	GL018879	616689
chrUn0182	NW_003159506.1	GL018880	GL018880	557480
chrUn0183	NW_003159507.1	GL018881	GL018881	544012
chrUn0184	NW_003159508.1	GL018882	GL018882	533469
chrUn0185	NW_003159509.1	GL018883	GL018883	524045
chrUn0186	NW_003159510.1	GL018884	GL018884	519804
chrUn0187	NW_003159511.1	GL018885	GL018885	594140
chrUn0188	NW_003159512.1	GL018886	GL018886	490365
chrUn0189	NW_003159513.1	GL018887	GL018887	695759
chrUn0190	NW_003159514.1	GL018888	GL018888	563273
chrUn0191	NW_003159515.1	GL018889	GL018889	484298
chrUn0192	NW_003159516.1	GL018890	GL018890	494640
chrUn0193	NW_003159517.1	GL018891	GL018891	508009
chrUn0194	NW_003159518.1	GL018892	GL018892	485655
chrUn0195	NW_003159519.1	GL018893	GL018893	520116
chrUn0196	NW_003159520.1	GL018894	GL018894	491810
chrUn0197	NW_003159521.1	GL018895	GL018895	485638
chrUn0198	NW_003159522.1	GL018896	GL018896	484949
chrUn0199	NW_003159523.1	GL018897	GL018897	477758
chrUn0200	NW_003159524.1	GL018898	GL018898	487845
chrUn0201	NW_003159525.1	GL018899	GL018899	517741
chrUn0202	NW_003159526.1	GL018900	GL018900	574424
chrUn0203	NW_003159527.1	GL018901	GL018901	520597
chrUn0204	NW_003159528.1	GL018902	GL018902	443426
chrUn0205	NW_003159529.1	GL018903	GL018903	533676
chrUn0206	NW_003159530.1	GL018904	GL018904	506393
chrUn0207	NW_003159531.1	GL018905	GL018905	554071
chrUn0208	NW_003159532.1	GL018906	GL018906	440353
chrUn0209	NW_003159533.1	GL018907	GL018907	490636
chrUn0210	NW_003159534.1	GL018908	GL018908	432161
chrUn0211	NW_003159535.1	GL018909	GL018909	449196
chrUn0212	NW_003159536.1	GL018910	GL018910	419706
chrUn0213	NW_003159537.1	GL018911	GL018911	460747
chrUn0214	NW_003159538.1	GL018912	GL018912	422373
chrUn0215	NW_003159539.1	GL018913	GL018913	478022
chrUn0216	NW_003159540.1	GL018914	GL018914	426691
chrUn0217	NW_003159541.1	GL018915	GL018915	427691
chrUn0218	NW_003159542.1	GL018916	GL018916	423532
chrUn0219	NW_003159543.1	GL018917	GL018917	544747
chrUn0220	NW_003159544.1	GL018918	GL018918	411751
chrUn0221	NW_003159545.1	GL018919	GL018919	487052
chrUn0222	NW_003159546.1	GL018920	GL018920	422684
chrUn0223	NW_003159547.1	GL018921	GL018921	562182
chrUn0224	NW_003159548.1	GL018922	GL018922	529108
chrUn0225	NW_003159549.1	GL018923	GL018923	409714
chrUn0226	NW_003159550.1	GL018924	GL018924	427045
chrUn0227	NW_003159551.1	GL018925	GL018925	588789
chrUn0228	NW_003159552.1	GL018926	GL018926	402175
chrUn0229	NW_003159553.1	GL018927	GL018927	397044
chrUn0230	NW_003159554.1	GL018928	GL018928	399838
chrUn0231	NW_003159555.1	GL018929	GL018929	411742
chrUn0232	NW_003159556.1	GL018930	GL018930	402426
chrUn0233	NW_003159557.1	GL018931	GL018931	392443
chrUn0234	NW_003159558.1	GL018932	GL018932	400091
chrUn0235	NW_003159559.1	GL018933	GL018933	401537
chrUn0236	NW_003159560.1	GL018934	GL018934	438693
chrUn0237	NW_003159561.1	GL018935	GL018935	466235
chrUn0238	NW_003159562.1	GL018936	GL018936	407822
chrUn0239	NW_003159563.1	GL018937	GL018937	364097
chrUn0240	NW_003159564.1	GL018938	GL018938	500451
chrUn0241	NW_003159565.1	GL018939	GL018939	383229
chrUn0242	NW_003159566.1	GL018940	GL018940	364963
chrUn0243	NW_003159567.1	GL018941	GL018941	384480
chrUn0244	NW_003159568.1	GL018942	GL018942	375673
chrUn0245	NW_003159569.1	GL018943	GL018943	360449
chrUn0246	NW_003159570.1	GL018944	GL018944	363945
chrUn0247	NW_003159571.1	GL018945	GL018945	380127
chrUn0248	NW_003159572.1	GL018946	GL018946	362585
chrUn0249	NW_003159573.1	GL018947	GL018947	383068
chrUn0250	NW_003159574.1	GL018948	GL018948	338366
chrUn0251	NW_003159575.1	GL018949	GL018949	345079
chrUn0252	NW_003159576.1	GL018950	GL018950	352109
chrUn0253	NW_003159577.1	GL018951	GL018951	378319
chrUn0254	NW_003159578.1	GL018952	GL018952	344976
chrUn0255	NW_003159579.1	GL018953	GL018953	362617
chrUn0256	NW_003159580.1	GL018954	GL018954	351627
chrUn0257	NW_003159581.1	GL018955	GL018955	322388
chrUn0258	NW_003159582.1	GL018956	GL018956	327937
chrUn0259	NW_003159583.1	GL018957	GL018957	329287
chrUn0260	NW_003159584.1	GL018958	GL018958	316904
chrUn0261	NW_003159585.1	GL018959	GL018959	390651
chrUn0262	NW_003159586.1	GL018960	GL018960	341666
chrUn0263	NW_003159587.1	GL018961	GL018961	312283
chrUn0264	NW_003159588.1	GL018962	GL018962	329791
chrUn0265	NW_003159589.1	GL018963	GL018963	323064
chrUn0266	NW_003159590.1	GL018964	GL018964	335086
chrUn0267	NW_003159591.1	GL018965	GL018965	319267
chrUn0268	NW_003159592.1	GL018966	GL018966	433379
chrUn0269	NW_003159593.1	GL018967	GL018967	309810
chrUn0270	NW_003159594.1	GL018968	GL018968	324334
chrUn0271	NW_003159595.1	GL018969	GL018969	321748
chrUn0272	NW_003159596.1	GL018970	GL018970	362023
chrUn0273	NW_003159597.1	GL018971	GL018971	303951
chrUn0274	NW_003159598.1	GL018972	GL018972	306030
chrUn0275	NW_003159599.1	GL018973	GL018973	307073
chrUn0276	NW_003159600.1	GL018974	GL018974	318877
chrUn0277	NW_003159601.1	GL018975	GL018975	313347
chrUn0278	NW_003159602.1	GL018976	GL018976	305990
chrUn0279	NW_003159603.1	GL018977	GL018977	353248
chrUn0280	NW_003159604.1	GL018978	GL018978	415988
chrUn0281	NW_003159605.1	GL018979	GL018979	353077
chrUn0282	NW_003159606.1	AAGW02076170	AAGW02076170	288718
chrUn0283	NW_003159607.1	GL018980	GL018980	315683
chrUn0284	NW_003159608.1	GL018981	GL018981	289602
chrUn0285	NW_003159609.1	GL018982	GL018982	297997
chrUn0286	NW_003159610.1	GL018983	GL018983	306135
chrUn0287	NW_003159611.1	GL018984	GL018984	353492
chrUn0288	NW_003159612.1	GL018985	GL018985	294012
chrUn0289	NW_003159613.1	GL018986	GL018986	296910
chrUn0290	NW_003159614.1	GL018987	GL018987	342155
chrUn0291	NW_003159615.1	GL018988	GL018988	291730
chrUn0292	NW_003159616.1	GL018989	GL018989	282669
chrUn0293	NW_003159617.1	GL018990	GL018990	279930
chrUn0294	NW_003159618.1	GL018991	GL018991	330290
chrUn0295	NW_003159619.1	GL018992	GL018992	288293
chrUn0296	NW_003159620.1	GL018993	GL018993	282206
chrUn0297	NW_003159621.1	GL018994	GL018994	337789
chrUn0298	NW_003159622.1	GL018995	GL018995	272723
chrUn0299	NW_003159623.1	GL018996	GL018996	293404
chrUn0300	NW_003159624.1	GL018997	GL018997	372349
chrUn0301	NW_003159625.1	GL018998	GL018998	266600
chrUn0302	NW_003159626.1	GL018999	GL018999	291431
chrUn0303	NW_003159627.1	GL019000	GL019000	270227
chrUn0304	NW_003159628.1	GL019001	GL019001	377253
chrUn0305	NW_003159629.1	GL019002	GL019002	278756
chrUn0306	NW_003159630.1	GL019003	GL019003	270375
chrUn0307	NW_003159631.1	GL019004	GL019004	267680
chrUn0308	NW_003159632.1	GL019005	GL019005	278674
chrUn0309	NW_003159633.1	GL019006	GL019006	296074
chrUn0310	NW_003159634.1	GL019007	GL019007	259960
chrUn0311	NW_003159635.1	GL019008	GL019008	310523
chrUn0312	NW_003159636.1	GL019009	GL019009	259833
chrUn0313	NW_003159637.1	GL019010	GL019010	279267
chrUn0314	NW_003159638.1	GL019011	GL019011	296745
chrUn0315	NW_003159639.1	GL019012	GL019012	314451
chrUn0316	NW_003159640.1	GL019013	GL019013	255788
chrUn0317	NW_003159641.1	GL019014	GL019014	314838
chrUn0318	NW_003159642.1	GL019015	GL019015	299706
chrUn0319	NW_003159643.1	GL019016	GL019016	257668
chrUn0320	NW_003159644.1	GL019017	GL019017	246242
chrUn0321	NW_003159645.1	GL019018	GL019018	248675
chrUn0322	NW_003159646.1	GL019019	GL019019	252097
chrUn0323	NW_003159647.1	GL019020	GL019020	386965
chrUn0324	NW_003159648.1	GL019021	GL019021	252537
chrUn0325	NW_003159649.1	GL019022	GL019022	377412
chrUn0326	NW_003159650.1	GL019023	GL019023	270339
chrUn0327	NW_003159651.1	GL019024	GL019024	244752
chrUn0328	NW_003159652.1	GL019025	GL019025	414911
chrUn0329	NW_003159653.1	GL019026	GL019026	299444
chrUn0330	NW_003159654.1	GL019027	GL019027	238549
chrUn0331	NW_003159655.1	GL019028	GL019028	239902
chrUn0332	NW_003159656.1	GL019029	GL019029	228799
chrUn0333	NW_003159657.1	GL019030	GL019030	238318
chrUn0334	NW_003159658.1	GL019031	GL019031	230350
chrUn0335	NW_003159659.1	GL019032	GL019032	242861
chrUn0336	NW_003159660.1	GL019033	GL019033	288633
chrUn0337	NW_003159661.1	GL019034	GL019034	238826
chrUn0338	NW_003159662.1	GL019035	GL019035	240786
chrUn0339	NW_003159663.1	GL019036	GL019036	380789
chrUn0340	NW_003159664.1	GL019037	GL019037	264947
chrUn0341	NW_003159665.1	GL019038	GL019038	446509
chrUn0342	NW_003159666.1	GL019039	GL019039	247762
chrUn0343	NW_003159667.1	GL019040	GL019040	227079
chrUn0344	NW_003159668.1	GL019041	GL019041	226169
chrUn0345	NW_003159669.1	GL019042	GL019042	238712
chrUn0346	NW_003159670.1	AAGW02077230	AAGW02077230	216051
chrUn0347	NW_003159671.1	GL019043	GL019043	218638
chrUn0348	NW_003159672.1	GL019044	GL019044	227053
chrUn0349	NW_003159673.1	GL019045	GL019045	218694
chrUn0350	NW_003159674.1	GL019046	GL019046	215483
chrUn0351	NW_003159675.1	GL019047	GL019047	247428
chrUn0352	NW_003159676.1	GL019048	GL019048	219630
chrUn0353	NW_003159677.1	GL019049	GL019049	218866
chrUn0354	NW_003159678.1	GL019050	GL019050	218320
chrUn0355	NW_003159679.1	GL019051	GL019051	224869
chrUn0356	NW_003159680.1	GL019052	GL019052	305376
chrUn0357	NW_003159681.1	GL019053	GL019053	225028
chrUn0358	NW_003159682.1	GL019054	GL019054	208638
chrUn0359	NW_003159683.1	GL019055	GL019055	208624
chrUn0360	NW_003159684.1	GL019056	GL019056	204766
chrUn0361	NW_003159685.1	GL019057	GL019057	205414
chrUn0362	NW_003159686.1	GL019058	GL019058	229295
chrUn0363	NW_003159687.1	GL019059	GL019059	239792
chrUn0364	NW_003159688.1	GL019060	GL019060	210305
chrUn0365	NW_003159689.1	GL019061	GL019061	431909
chrUn0366	NW_003159690.1	GL019062	GL019062	212013
chrUn0367	NW_003159691.1	GL019063	GL019063	203155
chrUn0368	NW_003159692.1	GL019064	GL019064	207091
chrUn0369	NW_003159693.1	GL019065	GL019065	228370
chrUn0370	NW_003159694.1	GL019066	GL019066	196526
chrUn0371	NW_003159695.1	GL019067	GL019067	200706
chrUn0372	NW_003159696.1	GL019068	GL019068	207068
chrUn0373	NW_003159697.1	GL019069	GL019069	242719
chrUn0374	NW_003159698.1	GL019070	GL019070	205348
chrUn0375	NW_003159699.1	GL019071	GL019071	196740
chrUn0376	NW_003159700.1	GL019072	GL019072	187862
chrUn0377	NW_003159701.1	GL019073	GL019073	187187
chrUn0378	NW_003159702.1	GL019074	GL019074	219564
chrUn0379	NW_003159703.1	GL019075	GL019075	204101
chrUn0380	NW_003159704.1	GL019076	GL019076	212876
chrUn0381	NW_003159705.1	GL019077	GL019077	190959
chrUn0382	NW_003159706.1	GL019078	GL019078	305139
chrUn0383	NW_003159707.1	GL019079	GL019079	195033
chrUn0384	NW_003159708.1	GL019080	GL019080	182623
chrUn0385	NW_003159709.1	GL019081	GL019081	185195
chrUn0386	NW_003159710.1	GL019082	GL019082	182517
chrUn0387	NW_003159711.1	GL019083	GL019083	185092
chrUn0388	NW_003159712.1	GL019084	GL019084	198899
chrUn0389	NW_003159713.1	GL019085	GL019085	182892
chrUn0390	NW_003159714.1	GL019086	GL019086	291127
chrUn0391	NW_003159715.1	GL019087	GL019087	179452
chrUn0392	NW_003159716.1	GL019088	GL019088	190382
chrUn0393	NW_003159717.1	GL019089	GL019089	178399
chrUn0394	NW_003159718.1	GL019090	GL019090	177748
chrUn0395	NW_003159719.1	GL019091	GL019091	188503
chrUn0396	NW_003159720.1	GL019092	GL019092	177111
chrUn0397	NW_003159721.1	GL019093	GL019093	180943
chrUn0398	NW_003159722.1	GL019094	GL019094	171866
chrUn0399	NW_003159723.1	GL019095	GL019095	272875
chrUn0400	NW_003159724.1	GL019096	GL019096	210757
chrUn0401	NW_003159725.1	GL019097	GL019097	168426
chrUn0402	NW_003159726.1	GL019098	GL019098	175054
chrUn0403	NW_003159727.1	AAGW02077833	AAGW02077833	166872
chrUn0404	NW_003159728.1	GL019099	GL019099	166925
chrUn0405	NW_003159729.1	GL019100	GL019100	170646
chrUn0406	NW_003159730.1	GL019101	GL019101	171269
chrUn0407	NW_003159731.1	GL019102	GL019102	181819
chrUn0408	NW_003159732.1	GL019103	GL019103	205233
chrUn0409	NW_003159733.1	GL019104	GL019104	178882
chrUn0410	NW_003159734.1	GL019105	GL019105	169806
chrUn0411	NW_003159735.1	GL019106	GL019106	245216
chrUn0412	NW_003159736.1	GL019107	GL019107	161169
chrUn0413	NW_003159737.1	GL019108	GL019108	168649
chrUn0414	NW_003159738.1	GL019109	GL019109	169983
chrUn0415	NW_003159739.1	GL019110	GL019110	247568
chrUn0416	NW_003159740.1	GL019111	GL019111	171919
chrUn0417	NW_003159741.1	GL019112	GL019112	166707
chrUn0418	NW_003159742.1	GL019113	GL019113	201426
chrUn0419	NW_003159743.1	GL019114	GL019114	166725
chrUn0420	NW_003159744.1	GL019115	GL019115	156353
chrUn0421	NW_003159745.1	GL019116	GL019116	290270
chrUn0422	NW_003159746.1	GL019117	GL019117	151114
chrUn0423	NW_003159747.1	GL019118	GL019118	154793
chrUn0424	NW_003159748.1	GL019119	GL019119	163485
chrUn0425	NW_003159749.1	GL019120	GL019120	157626
chrUn0426	NW_003159750.1	GL019121	GL019121	166360
chrUn0427	NW_003159751.1	GL019122	GL019122	166449
chrUn0428	NW_003159752.1	GL019123	GL019123	265548
chrUn0429	NW_003159753.1	GL019124	GL019124	158469
chrUn0430	NW_003159754.1	GL019125	GL019125	157054
chrUn0431	NW_003159755.1	GL019126	GL019126	249440
chrUn0432	NW_003159756.1	GL019127	GL019127	161558
chrUn0433	NW_003159757.1	GL019128	GL019128	171979
chrUn0434	NW_003159758.1	GL019129	GL019129	157887
chrUn0435	NW_003159759.1	GL019130	GL019130	172468
chrUn0436	NW_003159760.1	GL019131	GL019131	146275
chrUn0437	NW_003159761.1	GL019132	GL019132	145535
chrUn0438	NW_003159762.1	AAGW02078230	AAGW02078230	141946
chrUn0439	NW_003159763.1	GL019133	GL019133	177735
chrUn0440	NW_003159764.1	GL019134	GL019134	158679
chrUn0441	NW_003159765.1	GL019135	GL019135	149950
chrUn0442	NW_003159766.1	GL019136	GL019136	146021
chrUn0443	NW_003159767.1	GL019137	GL019137	144703
chrUn0444	NW_003159768.1	GL019138	GL019138	153905
chrUn0445	NW_003159769.1	GL019139	GL019139	194295
chrUn0446	NW_003159770.1	GL019140	GL019140	201710
chrUn0447	NW_003159771.1	GL019141	GL019141	179805
chrUn0448	NW_003159772.1	GL019142	GL019142	146287
chrUn0449	NW_003159773.1	GL019143	GL019143	156916
chrUn0450	NW_003159774.1	GL019144	GL019144	148361
chrUn0451	NW_003159775.1	GL019145	GL019145	139370
chrUn0452	NW_003159776.1	GL019146	GL019146	144554
chrUn0453	NW_003159777.1	GL019147	GL019147	140932
chrUn0454	NW_003159778.1	GL019148	GL019148	147895
chrUn0455	NW_003159779.1	GL019149	GL019149	139324
chrUn0456	NW_003159780.1	GL019150	GL019150	143423
chrUn0457	NW_003159781.1	GL019151	GL019151	148166
